Comment,Designator,Footprint,LCSC
100nF,C1,C_0402_1005Metric,C1525
Connector_USB_C_Receptacle_USB2.0,J5,USB-C_SMD-TYPE-C-31-M-12,C165948
LXES15AAA1-133,"D2,D3,D4,D5,D6,D7,D8",D0402-BI,C191267
Schottky,D1,D_SMA,C22452
100R,R3,R_0402_1005Metric,C25076
22R,"R1,R2",R_0402_1005Metric,C25092
47R,"R5,R6,R7,R8",R_0402_1005Metric,C25118
TS-1187A-B-A-B,SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,C318884
NASB0-S6701-TS50,"CN1,CN2",CONN-SMD_67P-P0.50-V_NASB0-S6701-TS50,C367024
USB_A,J2,USB-A-SMD_GT-USB-2004-CWG1A,C5117890
JK-NSMD050-30V,F1,F1206,C720075
TestPoint,TP1,TestPoint_Pad_D2.0mm,
Pmod,J1,Pmod 2x6,
TestPoint,TP5,TestPoint_Pad_D2.0mm,
Conn_01x03_Male,J3,PinHeader_1x03_P2.54mm_Vertical,
Pmod,J4,Pmod 2x6,
MountingHole_Pad,H1,MountingHole_2.2mm_M2_ISO7380_Pad_TopBottom,
Sipeed Lichee,H2,Sipeed Lichee,
