Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,161.2934,-114.8078,90.0,top
CN1,NASB0-S6701-TS50,CONN-SMD_67P-P0.50-V_NASB0-S6701-TS50,130.6251,-108.3324,90.0,top
CN2,NASB0-S6701-TS50,CONN-SMD_67P-P0.50-V_NASB0-S6701-TS50,130.6251,-84.1824,90.0,top
D1,Schottky,D_SMA,159.2961,-106.8324,-90.0,top
D2,LXES15AAA1-133,D0402-BI,160.909,-90.81,90.0,top
D3,LXES15AAA1-133,D0402-BI,160.909,-92.951,-90.0,top
D4,LXES15AAA1-133,D0402-BI,162.9961,-96.4044,-90.0,top
D5,LXES15AAA1-133,D0402-BI,162.6874,-114.0708,90.0,top
D6,LXES15AAA1-133,D0402-BI,175.0711,-81.4224,-90.0,top
D7,LXES15AAA1-133,D0402-BI,175.0211,-76.8824,90.0,top
D8,LXES15AAA1-133,D0402-BI,168.6137,-110.3416,180.0,top
F1,JK-NSMD050-30V,F1206,163.9294,-104.4956,180.0,top
H2,Sipeed Lichee,Sipeed Lichee,142.1101,-96.1644,-90.0,top
J1,Pmod,Pmod 2x6,114.2253,-112.0648,180.0,top
J2,USB_A,USB-A-SMD_GT-USB-2004-CWG1A,166.1686,-91.9094,90.0,top
J3,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,173.0211,-77.8524,0.0,top
J4,Pmod,Pmod 2x6,114.2253,-89.2048,180.0,top
J5,Connector_USB_C_Receptacle_USB2.0,USB-C_SMD-TYPE-C-31-M-12,174.5915,-110.494,90.0,top
R1,22R,R_0402_1005Metric,158.369,-91.3994,180.0,top
R2,22R,R_0402_1005Metric,158.379,-92.3794,180.0,top
R3,100R,R_0402_1005Metric,158.5334,-115.7578,180.0,top
R5,47R,R_0402_1005Metric,123.9921,-86.0552,180.0,top
R6,47R,R_0402_1005Metric,124.0195,-87.9856,180.0,top
R7,47R,R_0402_1005Metric,123.9941,-87.0204,0.0,top
R8,47R,R_0402_1005Metric,124.0195,-88.9508,0.0,top
SW1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,164.2884,-118.2878,0.0,top
